id;start_date;end_date;language
1;2021-01-22T05:52:23;2021-01-22T03:42:38;SPANISH
2;2021-01-21T10:42:34;2021-01-22T05:46:59;SPANISH
3;2021-01-22T01:37:53;2021-01-21T12:12:02;FRENCH
4;2021-01-21T16:55:24;2021-01-22T04:26:50;FRENCH
5;2021-01-22T02:25:42;2021-01-22T07:12:41;FRENCH
6;2021-01-21T20:18:03;2021-01-22T08:26:17;FRENCH
7;2021-01-21T22:03:23;2021-01-21T15:54:14;FRENCH
8;2021-01-21T20:59:36;2021-01-22T07:15:44;SPANISH
9;2021-01-21T19:40:45;2021-01-21T16:22:08;SPANISH
10;2021-01-22T03:52:49;2021-01-21T14:27:19;SPANISH
